success,Organization Name,Acquisition Status,IPO Status,Founded Date,Founded Date Precision,Last Funding Date,Number of Articles,Number of Founders,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Global Traffic Rank,SEMrush - Bounce Rate Growth,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,G2 Stack - Total Products Active,Money Raised Currency (in USD),Announced Date,Number of Investors,Seed Lag
0,Betterhalf,,Private,2016-08-01,month,2023-06-03,15,2.0,"86,251","265,880.50",-65.22%,569,125.79%,1.85,12.29%,69.69%,"455,275",19.72%,"253,137",125.23%,66.0,2.0,19.0,1000000.0,2018-10-01,3.0,791
0,Riyaz,,Private,2016-10-21,day,2019-01-25,0,2.0,"18,124","17,494.33",-56.77%,0,-89.53%,1.0,-59.93%,100%,"1,343,451",1104.82%,"577,104",75.31%,59.0,3.0,11.0,250000.0,2019-01-25,1.0,826
0,Gurusiksha,,Private,2016-12-27,day,2022-07-07,1,1.0,965,"1,351.50",268.32%,42,-4.12%,1.77,76.89%,23.11%,"5,249,695",-76.89%,"-2,040,303",-27.99%,45.0,1.0,0.0,2695.0,2018-10-11,1.0,653
0,JewelMaze Private Limited,,Private,2016-05-25,day,2019-08-07,0,1.0,"4,588","4,409.83",186.75%,275,-86.79%,4.71,371.29%,25.74%,"2,825,622",-74.26%,"-1,488,345",-34.50%,14.0,1.0,0.0,4000000.0,2019-08-07,1.0,1169
0,Zybra,,Private,2016-05-12,day,2022-03-19,0,2.0,"40,211","77,070.50",-22.51%,"4,050",6.44%,9.62,17.47%,13.76%,"806,385",32.18%,"153,729",23.55%,21.0,0.0,28.0,500000.0,2016-09-01,1.0,112
0,DaddysRoad Pvt Ltd,,Private,2016-10-03,day,2017-02-02,0,3.0,665,"6,141",-97.73%,0,65.97%,1.0,-65.78%,100%,"6,085,106",2806.98%,"5,055,702",491.13%,4.0,1.0,0.0,30000.0,2017-02-02,3.0,122
0,CVViZ,,Private,2016-06-01,day,2016-10-16,0,2.0,"82,872","45,242.33",256.32%,"1,413",39.76%,1.3,-12.08%,70.82%,"467,943",4.83%,"-692,872",-59.69%,60.0,0.0,23.0,70000.0,2016-10-16,1.0,137
0,Anvayaa Kin Care Pvt. Ltd,,Private,2016-05-23,day,2018-04-10,8,3.0,"2,610","5,867",11.73%,386,797.67%,1.15,-20.39%,92.49%,"3,525,417",29.92%,"-174,479",-4.72%,5.0,4.0,0.0,157000.0,2018-04-10,1.0,687
0,InterviewBuddy,,Private,2016-12-20,day,2017-03-17,27,1.0,742,"18,293.33",-58.72%,0,-5.03%,1.0,-25.80%,100%,"5,941,832",7.82%,"1,150,303",71.76%,3.0,0.0,0.0,100000.0,2017-03-17,1.0,87
0,EdTechReview Media,,Private,2016-03-01,month,2016-06-13,0,2.0,"25,652","53,279.83",-79.55%,167,-87%,1.17,-13.93%,94.78%,"1,109,316",42.53%,"772,209",229.07%,26.0,0.0,40.0,500000.0,2016-06-13,1.0,104
0,Ekeeda,,Private,2016-03-12,day,2016-07-19,0,2.0,"12,973","28,175.50",32.91%,670,-36.13%,2.25,-68.07%,46.54%,"1,646,805",-11.06%,"-270,514",-14.11%,13.0,7.0,0.0,65000.0,2016-07-19,1.0,129
0,Ohoshop mCommerce,,Private,2016-03-12,day,2017-03-02,0,3.0,336,811.33,-86.35%,0,-86.35%,1.0,-43.94%,100%,"7,267,474",38.08%,"3,652,248",101.02%,27.0,1.0,17.0,1000000.0,2017-03-02,1.0,355
0,SWIRL,,Private,2016-03-08,day,2021-09-21,2,2.0,"1,031","17,637.67",14.81%,23,467.07%,2.44,143.94%,28.03%,"5,152,501",-71.97%,"-209,568",-3.91%,8.0,4.0,3.0,500000.0,2019-08-13,4.0,1253
1,Adbell Media,Was Acquired,Private,2016-05-01,month,2019-03-10,0,2.0,"3,047","4,901.33",-34.61%,110,-55.47%,3.64,33.80%,18.58%,"3,322,311",-70.18%,"539,589",19.39%,44.0,0.0,0.0,50000.0,2019-03-10,1.0,1043
0,Knowledgekart.in,,Private,2016-05-15,day,2017-01-01,0,2.0,434,"2,656.33",-65.88%,0,1.71%,1.0,-30.60%,100%,"7,074,379",17.23%,"2,354,594",49.89%,23.0,0.0,0.0,2983.0,2016-07-15,1.0,61
0,HeavyEquipments.in,,Private,2016-06-24,day,2017-05-03,2,1.0,"1,707","3,097",21.75%,70,-61.89%,1.43,43.47%,56.53%,"4,284,622",-43.47%,"-265,656",-5.84%,50.0,0.0,0.0,35000.0,2017-05-03,1.0,313
0,SCIKEY,,Private,2016-12-01,month,2019-07-16,17,4.0,"146,199","38,325.67",1283.81%,430,76.95%,1.31,-53.33%,94.29%,"307,067",88.24%,"-1,548,392",-83.45%,91.0,0.0,17.0,500000.0,2019-07-16,1.0,957
1,Skillate,Was Acquired,Private,2016-05-10,day,2019-05-01,7,3.0,"733,825","796,434.67",-43.07%,"1,166",80.78%,1.2,-6.39%,82.04%,"91,154",0.95%,"33,338",57.66%,34.0,0.0,28.0,500000.0,2019-05-01,1.0,1086
0,Ontrack Technologies Pvt. Ltd,,Private,2016-02-26,day,2018-01-24,1,2.0,"824,352","469,791.50",41.50%,117,-35.36%,1.13,4.17%,90.57%,"83,545",-1.43%,"-22,858",-21.48%,40.0,1.0,15.0,500000.0,2018-01-24,1.0,698
0,Ciferon,,Private,2016-08-04,day,2019-06-04,0,2.0,"71,549","81,816.67",-82.08%,192,92%,1.12,11.22%,94.50%,"526,077",-5.22%,"384,683",272.06%,16.0,18.0,0.0,500000.0,2019-06-04,1.0,1034
