success,Organization Name,Acquisition Status,IPO Status,Founded Date,Founded Date Precision,Last Funding Date,Number of Articles,Number of Founders,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Global Traffic Rank,SEMrush - Bounce Rate Growth,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,G2 Stack - Total Products Active,Money Raised Currency (in USD),Announced Date,Number of Investors,Seed Lag
0,Classpro,,Private,2011-08-11,day,2019-01-01,2,3.0,"7,801","69,320.17",28.10%,"1,268",220.20%,9.4,243.69%,26.69%,"2,176,313",-44.35%,"-274,441",-11.20%,75.0,0.0,27.0,500000.0,2019-01-01,1.0,2700
1,CloudCodes,Was Acquired,Private,2011-11-21,day,2016-02-01,13,3.0,"4,233","3,269.83",122.56%,"1,375",200%,1.11,10.54%,94.73%,"2,939,551",-5.27%,"-1,160,867",-28.31%,16.0,2.0,19.0,250000.0,2016-02-01,1.0,1533
1,PoshVine,Was Acquired,Private,2011-10-27,day,2012-06-26,12,2.0,"598,483","995,211.67",24.47%,"3,586",684.68%,1.37,17.14%,79.76%,"106,280",-6.54%,"-16,758",-13.62%,77.0,0.0,9.0,500000.0,2012-06-26,1.0,243
0,AxisRooms,,Private,2011-02-23,day,2013-09-24,10,4.0,"136,082","124,490.33",49.59%,886,19.89%,2.91,-8.67%,44.73%,"323,158",24.18%,"-107,799",-25.01%,94.0,2.0,27.0,500000.0,2013-09-24,1.0,944
0,StyleCraze Beauty Care Pvt Ltd,,Private,2011-11-01,day,2013-08-03,0,1.0,"8,264,630","12,579,708.83",-19.93%,546,-43.42%,1.1,-1.26%,91.78%,"12,791",-0.14%,"2,901",29.33%,92.0,5.0,83.0,500000.0,2013-08-01,1.0,639
0,Touristlink,,Private,2011-10-01,day,2013-10-04,13,3.0,"69,478","171,793.50",-44.03%,"1,002",108.75%,1.83,33.31%,91.94%,"536,696",38.44%,"196,912",57.95%,38.0,0.0,30.0,500000.0,2013-10-04,1.0,734
1,Housing.com,"Made Acquisitions, Was Acquired",Private,2012-06-07,day,2020-02-29,379,12.0,"21,178,276","19,085,201.67",17.08%,700,-28.21%,1.35,-7.35%,82.04%,"5,458",2.78%,-387,-6.62%,62.0,8.0,38.0,2500000.0,2013-06-04,1.0,362
0,Atomberg Technology,,Private,2012-04-17,day,2023-05-29,3,2.0,"1,114,234","1,107,842.83",-1.16%,134,-11.84%,1.62,-53.25%,78.25%,"66,344",36.51%,"2,104",3.28%,58.0,4.0,15.0,1000000.0,2016-05-30,1.0,1504
1,Roposo,Was Acquired,Private,2012-06-29,day,2018-12-11,87,3.0,"444,884","350,085.83",-8.83%,443,-67.78%,1.18,3.27%,86.02%,"132,943",-10.29%,"11,230",9.23%,44.0,1.0,11.0,1000000.0,2014-07-08,3.0,739
1,Shopsense Retail Technologies Limited,Was Acquired,Private,2012-09-27,day,2018-03-29,62,3.0,"128,414","184,172.50",4.72%,"1,440",66.28%,1.43,-5.24%,67.22%,"337,869",-15.19%,"-5,291",-1.54%,46.0,9.0,75.0,500000.0,2017-03-26,2.0,1641
1,OYO,Made Acquisitions,Private,2012-02-21,day,2022-01-13,782,1.0,"4,079,488","5,517,892.33",-8.40%,539,-17.58%,2.12,29.42%,67.45%,"23,379",-2.95%,"2,574",12.37%,73.0,31.0,50.0,500000.0,2012-10-15,6.0,237
0,DailyObjects,,Private,2012-06-01,month,2022-02-11,29,2.0,"865,237","759,456.33",23.29%,349,-8.88%,1.55,5.31%,70.74%,"80,603",-10.59%,"-11,913",-12.88%,39.0,2.0,22.0,500000.0,2012-11-19,1.0,171
1,DeHaat,Made Acquisitions,Private,2012-02-06,day,2022-10-21,49,5.0,"79,291","36,164",428.29%,8,-99.56%,1.88,-19.76%,12.47%,"483,575",-85.47%,"-1,050,583",-68.48%,40.0,4.0,11.0,4371484.0,2019-03-18,2.0,2597
0,E42,,Private,2012-04-01,month,2021-10-26,20,3.0,549,"1,509.67",-78.54%,342,173.60%,1.59,-18.75%,40.62%,"6,282,487",-9.49%,"2,726,974",76.70%,10.0,0.0,0.0,500000.0,2015-03-17,1.0,1080
0,Intelligence Node,,Private,2012-08-01,month,2019-07-25,67,3.0,"7,464","76,216.83",-97.51%,644,550.51%,1.11,-49.08%,91.79%,"2,242,653",116.28%,"2,067,550",1180.76%,60.0,0.0,37.0,350000.0,2014-05-01,1.0,638
0,Avanti Learning Centres,,Private,2012-11-07,day,2016-02-09,5,2.0,"4,205","14,659",-92.96%,18,-94.70%,1.16,15.91%,89.39%,"2,973,540",-10.61%,"2,382,665",403.24%,45.0,0.0,22.0,500000.0,2013-12-01,2.0,389
0,Posist,,Private,2012-02-01,day,2019-01-01,1,2.0,"78,572","98,884.50",-13.52%,409,-38.12%,1.41,23.85%,86.02%,"487,324",-5.65%,"56,020",12.99%,27.0,7.0,24.0,500000.0,2014-10-28,1.0,1000
0,SP Robotic Works Pvt Ltd,,Private,2012-08-10,day,2021-07-30,9,2.0,"4,133","4,406.83",100.24%,650,19.05%,4.91,10.81%,34.36%,"2,988,328",-53.95%,"-855,390",-22.25%,31.0,2.0,17.0,300000.0,2016-03-23,2.0,1321
0,TravelKhana,,Private,2012-08-01,day,2017-08-29,28,1.0,"811,214","1,251,492",17.02%,131,-5.07%,1.27,24.81%,73.36%,"84,563",-25.90%,"-8,769",-9.40%,72.0,4.0,19.0,2000000.0,2013-10-04,4.0,429
0,Parentune,,Private,2012-03-20,day,2017-03-08,6,2.0,"435,320","218,110.67",51.50%,78,-93.01%,1.58,-24.69%,63.81%,"135,016",-17.98%,"-45,945",-25.39%,14.0,0.0,19.0,500000.0,2015-12-01,1.0,1351
0,TradeLab,,Private,2012-07-26,day,2015-05-03,6,2.0,"100,993","17,900.17",17870.28%,11,-84.93%,1.0,-66.61%,99.90%,"405,837",200.27%,"-5,743,205",-93.40%,63.0,1.0,30.0,390000.0,2015-05-03,1.0,1011
0,CultureAlley,,Private,2012-12-01,day,2015-07-03,9,2.0,"2,811","5,255.33",494.29%,0,654.55%,1.0,0%,100%,"3,409,772",0%,"-3,399,031",-49.92%,5.0,1.0,3.0,100000.0,2013-03-01,1.0,90
0,LivQuik,,Private,2012-07-04,day,2021-09-13,11,2.0,727,"2,752.50",-17.85%,"2,070",-45.66%,1.61,61.35%,69.33%,"5,970,696",-30.67%,"580,523",10.77%,45.0,0.0,16.0,1600000.0,2015-07-17,1.0,1108
0,Click,,Private,2012-06-14,day,2012-10-25,26,2.0,"184,140","472,470.33",-87.33%,194,60.33%,1.9,0.74%,55.20%,"258,209",-14.07%,"205,551",390.35%,20.0,5.0,61.0,231382.0,2012-10-25,1.0,133
0,CronJ IT Technologies,,Private,2012-01-10,day,2012-04-10,14,2.0,"20,938","41,334.17",-28.28%,630,11.50%,1.41,-6.44%,71.52%,"1,244,537",-12.93%,"212,707",20.61%,47.0,0.0,39.0,10000.0,2012-04-10,1.0,91
0,InTouchApp,,Private,2012-11-01,day,2016-04-25,12,1.0,"52,116","52,029.83",59.16%,460,-16.52%,2.34,33.42%,50.66%,"661,431",-31.61%,"-282,447",-29.92%,69.0,4.0,16.0,500000.0,2016-04-25,1.0,1271
0,Helical IT Solutions,,Private,2012-11-05,day,2013-05-10,1,2.0,"7,811","9,911.33",-19.75%,765,731.52%,4.85,272.31%,82.09%,"2,175,498",2.04%,"256,171",13.35%,1.0,0.0,14.0,45763.0,2013-05-10,1.0,186
1,Zomato,Made Acquisitions,Public,2008-07-01,month,2023-08-30,"3,894",2.0,"17,940,201","20,512,367",-2.77%,821,-6.81%,1.85,19.30%,66.17%,"6,441",-10.27%,713,12.45%,43.0,0.0,38.0,1012914.0,2010-08-01,1.0,761
1,Capillary Technologies,Made Acquisitions,Private,2008-08-01,day,2023-06-01,192,3.0,"708,351","394,335",137.95%,"1,660",-58.08%,1.83,-53.82%,65.72%,"93,618",55.15%,"-82,438",-46.82%,79.0,7.0,43.0,100000.0,2009-10-06,1.0,431
0,E2E Networks,,Private,2008-06-01,day,2013-06-30,10,1.0,"56,602","51,999.33",58.94%,"1,057",92.18%,2.3,37.18%,59.52%,"624,059",-18.04%,"-272,299",-30.38%,42.0,0.0,24.0,80405.0,2013-06-30,1.0,1855
0,Cropin,,Private,2010-08-01,month,2022-12-09,35,2.0,"12,569","13,059.83",1.95%,152,-78.50%,1.27,-11.22%,81.76%,"1,670,193",1.09%,"-22,708",-1.34%,39.0,11.0,16.0,290078.0,2014-02-26,2.0,1305
0,Onsitego,,Private,2010-08-01,month,2020-09-22,16,1.0,"1,185,841","901,624",-9.91%,"1,094",29.77%,1.38,-13.50%,73.37%,"63,143",-0.10%,"6,265",11.01%,45.0,5.0,12.0,500000.0,2015-03-01,1.0,1673
0,Collegedunia,,Private,2010-05-08,day,2016-01-18,11,1.0,"7,497,724","16,040,192.67",-22.38%,721,14.81%,1.41,6.84%,72.84%,"13,904",-11.37%,"3,384",32.17%,42.0,0.0,35.0,443000.0,2016-01-18,1.0,2081
1,INSOFE,Was Acquired,Private,2010-01-17,day,2017-03-27,4,3.0,"2,803","7,320.67",93.71%,339,20.21%,2.36,43.06%,57.87%,"3,411,871",-33.49%,"-1,076,658",-23.99%,47.0,0.0,0.0,2600000.0,2017-03-27,1.0,2626
0,CollegeSearch,,Private,2010-10-07,day,2014-03-01,6,2.0,"653,440","1,781,386.33",-32.25%,"1,634",106.05%,1.22,-4.84%,86.48%,"99,485",3.74%,"27,110",37.46%,47.0,2.0,25.0,320000.0,2014-03-01,1.0,1241
0,Bigscal Technologies Pvt Ltd.,,Private,2010-12-01,day,2016-02-13,0,2.0,"18,910","22,306",53.78%,296,3.50%,1.54,-30.69%,65.66%,"1,314,779",82.80%,"-379,699",-22.41%,66.0,1.0,12.0,500000.0,2016-02-13,1.0,1900
0,CleanTech Technology,,Private,2010-04-01,day,2013-06-24,0,1.0,"180,204","153,463.67",-18.43%,35,-96.41%,1.46,-0.29%,66.26%,"262,214",-12.24%,"41,956",19.05%,47.0,0.0,8.0,100000.0,2011-01-01,1.0,275
1,BharatPe,Made Acquisitions,Private,2018-04-01,month,2021-10-25,351,3.0,"832,730","463,780",57.59%,"1,568",191.45%,1.24,-18.63%,86.60%,"82,924",64.80%,"-31,631",-27.61%,33.0,0.0,18.0,2000000.0,2018-10-01,6.0,183
0,Credgenics,,Private,2018-10-10,day,2023-08-09,27,5.0,"3,541","6,065",-24.87%,6,-98.20%,1.21,-20.89%,79.05%,"3,139,500",67.76%,"363,750",13.10%,8.0,3.0,0.0,300000.0,2019-11-10,5.0,396
0,TravClan,,Private,2018-10-01,day,2022-04-28,5,3.0,"239,061","174,238.33",94.85%,"1,665",11.97%,3.26,-14.94%,33.18%,"211,397",40%,"-131,647",-38.38%,60.0,1.0,0.0,1000000.0,2019-08-01,1.0,304
1,Spyne,Made Acquisitions,Private,2018-12-28,day,2022-04-12,12,2.0,"1,138,667","415,415",26.26%,465,32.10%,1.25,0.03%,83.30%,"65,243",-3.81%,"-11,060",-14.49%,60.0,19.0,25.0,500000.0,2019-07-05,1.0,189
0,Data Sutram,,Private,2018-09-20,day,2023-09-26,11,6.0,"29,042","14,345.50",322.74%,"1,845",-1.65%,3.3,4.46%,46.85%,"1,035,772",5.35%,"-1,300,062",-55.66%,48.0,0.0,0.0,35000.0,2019-12-07,1.0,443
0,Virohan,,Private,2018-05-04,day,2022-12-08,23,4.0,"41,173","95,975.67",-70.15%,207,-73.50%,7.65,654.04%,32.22%,"789,525",-67.37%,"474,838",150.89%,62.0,5.0,15.0,500000.0,2019-07-01,1.0,423
0,Zimyo,,Private,2018-01-15,day,2022-03-03,3,2.0,"67,926","73,510",-50.74%,660,88.03%,1.45,5.35%,82.15%,"545,120",-9.87%,"230,349",73.18%,84.0,5.0,23.0,500000.0,2019-05-13,1.0,483
1,Artivatic.ai,Was Acquired,Private,2018-01-05,day,2022-02-15,22,2.0,657,"1,954.67",-72.84%,0,-75.02%,1.0,-50.39%,100%,"6,096,409",90.19%,"2,460,538",67.67%,79.0,0.0,24.0,500000.0,2019-02-26,1.0,417
0,AccioJob,,Private,2018-08-08,day,2023-09-09,1,4.0,"1,944,760","1,292,638.33",57.65%,922,17.30%,1.62,-28.30%,64.72%,"43,033",33.20%,"-16,840",-28.13%,60.0,2.0,12.0,150000.0,2019-03-18,1.0,222
1,One Impression,Made Acquisitions,Private,2018-07-01,month,2023-03-15,6,2.0,"3,318","8,784.17",-88.62%,"3,515",59.85%,2.48,141.11%,64.20%,"3,222,536",-34.62%,"2,190,212",212.16%,10.0,0.0,11.0,500000.0,2019-08-01,1.0,396
0,Fasal,,Private,2018-01-11,day,2021-11-22,21,5.0,"3,551","9,074.17",-70%,119,-84.66%,1.31,-33.56%,81.50%,"3,136,832",20.58%,"1,407,841",81.43%,30.0,1.0,15.0,1600000.0,2019-10-30,7.0,657
0,Pocket FM,,Private,2018-09-28,day,2023-05-02,38,3.0,"549,439","474,264.17",103.82%,699,131.46%,1.65,5.51%,59.94%,"113,362",7.92%,"-76,384",-40.26%,28.0,4.0,22.0,500000.0,2019-02-05,1.0,130
1,Practically,Made Acquisitions,Private,2018-03-01,month,2021-12-15,1,3.0,"36,850","73,097.67",39.86%,"1,027",-60.80%,9.22,-19.98%,38.35%,"884,580",61%,"-200,002",-18.44%,6.0,0.0,0.0,5000000.0,2019-09-04,3.0,552
0,Knorish,,Private,2018-04-24,day,2023-07-04,6,2.0,"149,171","140,243",49.18%,703,82.60%,5.23,47.47%,35.94%,"302,717",-14.89%,"-98,633",-24.58%,34.0,27.0,22.0,500000.0,2019-12-01,1.0,586
0,Gatheround,,Private,2018-11-01,month,2020-06-27,0,3.0,"12,739","18,022.33",-38.46%,270,-81.20%,2.19,23.30%,25.41%,"1,659,866",-64.39%,"417,800",33.64%,48.0,0.0,15.0,495000.0,2018-12-02,4.0,31
1,Classplus,Made Acquisitions,Private,2018-01-28,day,2022-03-29,41,5.0,"5,354,338","4,642,152.50",-7.35%,"1,269",2.59%,2.51,-4.90%,51.72%,"18,494",9.65%,"1,844",11.08%,4.0,1.0,24.0,1600000.0,2019-05-09,4.0,466
0,ZAMROO,,Private,2018-06-15,day,2020-04-20,1,1.0,"8,252","23,178.33",-87.16%,185,134.18%,2.18,103.56%,67.35%,"2,109,278",-30.80%,"1,551,470",278.14%,36.0,1.0,60.0,73339.0,2018-06-15,1.0,0
0,Arzooo.com,,Private,2018-10-01,month,2022-06-28,5,2.0,"99,574","73,072.50",127.97%,"1,324",144.28%,1.9,-1.69%,62.82%,"410,175",29.39%,"-330,572",-44.63%,34.0,0.0,12.0,1000000.0,2019-06-13,1.0,255
0,The Tarzan Way,,Private,2018-08-10,day,2022-01-31,0,2.0,"2,510","7,821.67",22.08%,25,2550%,1.09,8.88%,91.12%,"3,581,539",-8.88%,"-265,221",-6.89%,28.0,0.0,0.0,500000.0,2018-08-10,1.0,0
1,Skill Lync,Made Acquisitions,Private,2018-04-01,month,2021-08-03,21,2.0,"281,633","595,032.33",-11.16%,"1,162",38.83%,2.86,-26.06%,74.93%,"186,773",47.38%,"18,622",11.07%,66.0,0.0,35.0,150000.0,2019-03-18,1.0,351
0,UNI,,Private,2018-01-15,day,2021-04-15,21,2.0,"183,874","48,642.83",565.61%,"1,219",114.61%,1.1,-56.77%,97.67%,"258,472",45.17%,"-800,388",-75.59%,79.0,0.0,24.0,100000.0,2019-05-25,1.0,495
0,Big.Jobs,,Private,2018-11-01,month,2022-03-30,8,3.0,"135,531","23,877.17",6068.91%,38,-98.74%,1.5,14.25%,50.82%,"324,106",-26.35%,"-3,444,743",-91.40%,10.0,0.0,0.0,115000.0,2019-12-15,1.0,409
0,Vowelor,,Private,2018-11-01,month,2019-06-10,1,2.0,"1,400","3,039.67",-66.59%,0,-71.84%,1.0,0%,100%,"4,626,874",0%,"1,718,064",59.06%,42.0,1.0,14.0,143815.0,2019-06-10,1.0,221
0,AttainU,,Private,2018-11-01,month,2019-09-16,3,2.0,219,"4,729",-55.76%,0,-91.30%,1.0,0%,100%,"7,689,978",0%,"1,433,325",22.91%,46.0,0.0,0.0,150000.0,2019-02-01,1.0,92
0,GroCurv,,Private,2018-08-01,month,2020-05-13,48,2.0,742,"2,334.17",-43.57%,509,-68.54%,2.0,75.10%,0%,"5,953,607",15.58%,"1,299,339",27.92%,27.0,0.0,0.0,250000.0,2019-03-06,1.0,217
0,Zolopik,,Private,2018-07-14,day,2018-11-20,0,2.0,"119,523","34,225.67",8234.94%,"2,116",17533.33%,1.34,-51.23%,67.06%,"355,950",414.26%,"-4,138,459",-92.08%,3.0,0.0,0.0,70000.0,2018-11-20,1.0,129
0,Meddco.com,,Private,2018-07-21,day,2018-12-14,0,2.0,"9,453","70,067.17",-92.95%,0,142.34%,1.0,-1.73%,100%,"1,938,559",1.50%,"1,617,668",504.12%,39.0,0.0,0.0,70000.0,2018-12-14,1.0,146
0,Trodly,,Private,2018-01-05,day,2018-09-01,22,2.0,"274,688","56,155.17",1552.56%,"2,462",569.02%,1.25,-0.46%,75.33%,"190,306",-9.40%,"-1,218,803",-86.49%,15.0,5.0,22.0,25000.0,2018-09-01,1.0,239
0,FourModules,,Private,2018-10-09,day,2019-02-12,0,2.0,"82,562","120,656.50",1.71%,"3,555",-3.05%,32.27,62.32%,14.24%,"469,264",-9.41%,"1,545",0.33%,42.0,0.0,0.0,95000.0,2019-02-12,1.0,126
0,HealthifyMe,,Private,2012-01-01,year,2023-06-07,109,3.0,"2,769,430","2,120,358.33",8.79%,971,78.49%,1.43,8.56%,71.57%,"32,295",-12.78%,"-1,016",-3.05%,13.0,2.0,49.0,500000.0,2015-06-18,5.0,1264
1,Happay,Was Acquired,Private,2012-01-01,year,2019-05-27,27,2.0,"29,626","46,722.33",-39.43%,306,-19.26%,1.32,8.98%,74.24%,"1,022,748",-18.05%,"338,932",49.56%,44.0,14.0,0.0,500000.0,2013-12-01,1.0,700
0,Bizom,,Private,2012-01-01,year,2022-11-04,6,4.0,"2,340","2,650.33",134.70%,55,205.56%,1.28,-21.05%,71.71%,"3,668,665",91.18%,"-1,359,991",-27.04%,39.0,12.0,13.0,300000.0,2013-03-01,1.0,425
1,NowFloats,"Made Acquisitions, Was Acquired",Private,2012-01-01,year,2019-03-08,33,5.0,"61,050","139,151",-76.03%,284,-85.44%,2.59,-39.04%,21.17%,"591,585",-23.10%,"393,669",198.91%,49.0,46.0,42.0,500000.0,2013-06-10,4.0,526
0,iDream Career,,Private,2012-01-01,year,2022-04-26,3,3.0,"35,284","365,292.50",-93.77%,732,-70.81%,1.53,10.07%,77.07%,"906,158",-7.52%,"797,436",733.46%,35.0,0.0,57.0,500000.0,2019-08-07,1.0,2775
0,DataTrained,,Private,2012-01-01,year,2023-01-31,10,1.0,"215,227","280,818.33",7.51%,653,23.67%,1.95,-7.98%,66.74%,"228,815",12.81%,"-8,413",-3.55%,40.0,0.0,15.0,1702272.0,2018-12-18,3.0,2543
0,Oliveboard,,Private,2012-01-01,year,2021-07-12,12,2.0,"2,998,520","2,794,042.50",14.87%,"1,938",-16.75%,4.01,-11.65%,42.65%,"30,341",12.80%,"-2,287",-7.01%,44.0,11.0,20.0,500000.0,2019-01-01,1.0,2557
1,Browntape,Was Acquired,Private,2012-01-01,year,2021-03-03,14,3.0,"23,197","53,539.17",-73.87%,536,-75.60%,3.97,-40.08%,47.86%,"1,176,993",51.22%,"738,331",168.31%,64.0,2.0,33.0,500000.0,2014-04-04,2.0,824
0,Kratikal,,Private,2012-01-01,year,2019-12-04,5,3.0,"4,879","8,988.17",-82.92%,556,2680%,1.43,41.04%,84.24%,"2,761,677",-14.73%,"1,719,803",165.07%,67.0,0.0,22.0,1000000.0,2019-12-04,8.0,2894
0,HelloVerify,,Private,2012-01-01,year,2019-03-12,4,2.0,"33,001","65,964.17",438%,426,-22.55%,1.32,-45.49%,92.59%,"942,757",122.36%,"-1,501,583",-61.43%,12.0,0.0,15.0,120000.0,2018-01-04,2.0,2195
0,PlayAblo,,Private,2012-01-01,year,2017-07-19,0,3.0,"17,727","45,821.33",-69.85%,447,-56.98%,3.89,-45.74%,28.89%,"1,360,237",74.46%,"763,477",127.94%,83.0,8.0,0.0,600000.0,2017-07-19,1.0,2026
0,mElimu,,Private,2012-01-01,year,2014-08-10,0,3.0,"68,201","139,576.50",-20.08%,656,94.66%,6.19,35.61%,20.57%,"543,567",-18.15%,"92,801",20.59%,84.0,16.0,34.0,300000.0,2014-08-10,1.0,952
0,Securtime,,Private,2012-01-01,year,2017-01-12,2,3.0,"2,264","17,298.17",-72.22%,100,-75.61%,2.15,27.48%,71.33%,"3,718,708",34.56%,"1,633,233",78.31%,5.0,5.0,13.0,500000.0,2017-01-12,2.0,1838
0,Menstrupedia,,Private,2012-01-01,year,2019-01-01,0,3.0,"2,697","13,075.50",-87.86%,26,-7.14%,1.33,19.75%,75.19%,"3,474,041",-17.99%,"2,276,360",190.06%,50.0,2.0,45.0,500000.0,2019-01-01,1.0,2557
1,PriceBaba,Was Acquired,Private,2012-01-01,year,2013-08-01,62,2.0,"1,015,176","1,489,494.17",-30.92%,"1,438",-64.82%,2.07,-35.65%,74.47%,"71,437",-13.06%,"19,274",36.95%,23.0,1.0,34.0,500000.0,2013-05-14,3.0,499
0,nurtr,,Private,2012-01-01,year,2017-06-01,0,1.0,"4,198","8,533",826.71%,"1,920",31900%,7.69,477%,41.57%,"2,975,377",-37.65%,"-3,889,711",-56.66%,61.0,4.0,0.0,500000.0,2017-06-01,2.0,1978
1,FreeCharge,"Made Acquisitions, Was Acquired",Private,2010-01-01,year,2017-09-21,470.0,1.0,"1,114,349","1,678,210.50",13.84%,292,21.67%,1.71,-2.81%,48.92%,"66,339",-8.22%,"-5,245",-7.33%,39.0,4.0,28.0,500000.0,2011-01-01,1.0,365
1,91Mobiles,Made Acquisitions,Private,2010-01-01,year,2014-10-29,7.0,2.0,"36,151,592","31,323,567.50",23.59%,561,48.81%,2.02,6.72%,61.47%,"3,232",-8.20%,-440,-11.98%,53.0,2.0,31.0,1000000.0,2014-10-29,1.0,1762
1,AWS Training in Chennai,Was Acquired,Private,2010-01-01,year,2014-02-25,21.0,3.0,223,"1,066.67",-57.44%,0,355.56%,1.0,-60%,100%,"7,628,650",0%,"1,416,958",22.81%,10.0,6.0,0.0,1000000.0,2013-11-01,7.0,1400
0,Kleeto,,Private,2010-01-01,year,2015-10-30,0,1.0,"4,234","5,462.33",-4.34%,291,219.78%,3.06,18.36%,31.22%,"2,939,446",56.10%,"98,527",3.47%,19.0,0.0,9.0,229000.0,2015-10-30,1.0,2128
0,Process 9,,Private,2010-01-01,year,2016-04-01,3.0,1.0,"3,521","3,628.83",118.42%,75,-89.95%,1.21,-61.51%,78.93%,"3,143,076",13.81%,"-1,161,980",-26.99%,60.0,8.0,16.0,500000.0,2016-04-01,4.0,2282
0,Docswallet,,Private,2010-01-01,year,2017-10-25,0,2.0,"5,194","4,036.33",4.11%,464,85.60%,4.86,94.59%,0%,"2,693,125",11.35%,"-24,435",-0.90%,4.0,0.0,12.0,500000.0,2017-10-25,1.0,2854
1,MobiKwik,Made Acquisitions,Private,2009-08-15,day,2022-08-04,639.0,3.0,"2,477,421","2,207,088",68.57%,"1,544",157.76%,1.35,-13.17%,83.53%,"35,214",0.40%,"-16,943",-32.48%,71.0,4.0,40.0,500000.0,2010-09-16,1.0,397
1,Knowlarity Communications,"Made Acquisitions, Was Acquired",Private,2009-08-17,day,2016-11-23,26.0,2.0,"140,495","280,361.50",-4.14%,"5,314",319.75%,5.27,103.34%,42.40%,"315,800",-1.03%,"15,327",5.10%,88.0,0.0,33.0,500000.0,2011-01-01,2.0,502
1,Grene Robotics,Made Acquisitions,Private,2009-12-22,day,2022-12-01,9.0,2.0,442,"1,572.17",-66.10%,"3,134",980.69%,2.01,-37.04%,49.55%,"6,511,495",245.54%,"1,851,237",39.72%,34.0,8.0,14.0,530000.0,2017-08-05,1.0,2783
0,Univariety,,Private,2009-05-20,day,2020-03-21,9.0,2.0,"10,205","23,851.67",-69.40%,989,10.38%,5.59,95.34%,54.53%,"1,860,892",-38.53%,"926,635",99.18%,70.0,2.0,34.0,105000.0,2016-04-07,1.0,2514
0,KiwiQA Services,,Private,2009-05-05,day,2014-09-10,2.0,1.0,"2,493","3,100.83",17.87%,0,-51.71%,1.0,-11.06%,100%,"3,588,618",14.19%,"-225,328",-5.91%,53.0,0.0,33.0,50000.0,2014-09-10,1.0,1954
0,Datacipher,,Private,2009-01-15,day,2015-01-01,15.0,1.0,113,843.5,-39.57%,14,-77.38%,2.0,100%,0%,"8,407,726",88.04%,"642,913",8.28%,43.0,0.0,13.0,1000000.0,2015-01-01,1.0,2177
1,Inshorts,Made Acquisitions,Private,2013-04-01,day,2021-07-15,49.0,3.0,"3,134,576","3,753,180.83",-6.20%,226,-69.08%,1.27,15.77%,82.65%,"29,215",-15.29%,"2,620",9.85%,9.0,0.0,22.0,20000.0,2013-09-01,1.0,153
1,Toppr,"Made Acquisitions, Was Acquired",Private,2013-02-04,day,2020-07-29,73.0,2.0,"122,501,936","92,685,970.50",24.97%,"1,759",-3.72%,3.15,18.14%,49.10%,915,-12.42%,-137,-13.02%,79.0,17.0,34.0,2000000.0,2014-05-24,2.0,474
1,AgroStar,Made Acquisitions,Private,2013-03-10,day,2021-10-07,25.0,2.0,"17,780","18,977",-5.94%,38,15.15%,1.28,2.48%,77.04%,"917,589",-5.36%,"2,309",0.25%,55.0,2.0,0.0,733944.0,2013-04-01,2.0,22
1,blinkit,"Made Acquisitions, Was Acquired",Private,2013-12-27,day,2022-03-15,538.0,2.0,"4,403,509","4,493,677.67",-20.32%,418,-50.71%,1.54,-6.66%,75.47%,"21,858",6.46%,"4,551",26.30%,67.0,18.0,1.0,500000.0,2014-12-08,1.0,346
1,Testbook.com,Was Acquired,Private,2013-04-01,month,2022-09-13,7.0,5.0,"37,337,895","34,211,995.50",4.32%,"1,124",-8.69%,2.62,-9.73%,63.56%,"3,129",5.30%,155,5.21%,81.0,2.0,65.0,250000.0,2014-10-29,5.0,576
0,NewsBytes,,Private,2013-02-27,day,2020-04-27,7.0,3.0,"847,805","896,246.67",-21.52%,"1,241",332.40%,1.2,3.87%,90.73%,"81,816",7.33%,"15,448",23.28%,66.0,2.0,25.0,1000000.0,2018-09-19,3.0,2030
0,CrelioHealth ( formerly LiveHealth ),,Private,2013-10-21,day,2018-03-05,3.0,3.0,"894,922","239,337.33",446.51%,893,-36.71%,1.15,-46.85%,87.55%,"78,582",65.66%,"-197,660",-71.55%,37.0,40.0,14.0,1100000.0,2018-03-05,1.0,1596
1,Payswiff,"Made Acquisitions, Was Acquired",Private,2013-09-01,day,2017-11-30,5.0,5.0,"5,556","6,351.33",-6.23%,236,-41.87%,2.69,54.34%,17.39%,"2,567,023",-64.78%,"68,397",2.74%,18.0,10.0,13.0,2500000.0,2015-12-10,2.0,830
0,GreedyGame,,Private,2013-10-25,day,2019-03-01,18.0,2.0,"6,777","31,390.67",-75.67%,139,-82.80%,1.42,-13.42%,83.77%,"2,366,309",29.57%,"1,311,872",124.41%,78.0,20.0,27.0,20000.0,2014-09-15,1.0,325
0,Unocoin,,Private,2013-12-01,day,2020-10-08,106.0,4.0,"10,559","27,046",23.54%,"1,407",-7.01%,2.03,-25.12%,47.13%,"1,832,148",-15.13%,"-209,685",-10.27%,38.0,0.0,35.0,1500000.0,2016-09-30,8.0,1034
